,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,new norfolk,75,LR,1603842859,94,6.65,-10.59,26.0,0.18
1,casablanca,0,MA,1603842821,93,33.59,-7.62,16.67,2.6
2,monrovia,75,LR,1603842860,94,6.3,-10.8,26.0,4.26
3,klaksvik,92,FO,1603842764,86,62.23,-6.59,8.15,10.23
4,half moon bay,75,LR,1603842860,94,6.38,-10.7,26.0,1.66
5,vaini,4,TO,1603842860,76,-21.2,-175.2,22.91,12.1
6,ribeira grande,75,ES,1603842860,93,42.75,-8.44,13.89,1.5
7,cape town,75,CL,1603842860,62,-36.41,-71.9,13.0,3.6
8,cherskiy,100,RU,1603842861,92,68.75,161.3,-10.01,3.97
9,jamestown,90,US,1603842765,100,42.1,-79.24,5.0,1.56
10,mar del plata,75,ES,1603842861,100,43.4,-4.01,15.0,2.6
11,rikitea,100,PF,1603842861,83,-23.12,-134.97,24.13,7.13
12,severo-kurilsk,9,RU,1603842717,78,50.68,156.12,7.33,2.6
13,fort saint john,100,NL,1603842861,92,52.65,6.39,10.56,0.89
14,champerico,40,GT,1603842862,66,14.3,-91.92,30.0,3.1
15,sao filipe,0,IN,1603842862,50,20.51,76.21,19.38,1.07
16,castro,0,BR,1603842862,63,-24.79,-50.01,15.95,1.71
17,hilo,90,US,1603842862,78,19.73,-155.09,27.0,3.64
18,gornopravdinsk,76,RU,1603842862,95,60.05,69.9,-10.06,3.61
19,harrisburg,90,US,1603842706,62,40.27,-76.88,14.0,1.84
20,clarence town,90,US,1603842862,81,42.98,-78.59,6.11,3.6
21,nikolskoye,90,RU,1603842863,87,59.7,30.79,11.11,4.0
22,hobart,75,AU,1603842786,66,-42.88,147.33,14.44,4.1
23,chokurdakh,100,RU,1603842863,97,70.63,147.92,-10.93,1.26
24,roma,90,US,1603842618,87,43.21,-75.46,6.11,1.63
25,bereda,99,ES,1603842863,100,43.27,-7.54,12.22,3.13
26,bluff,14,NZ,1603842863,64,-46.6,168.33,14.44,1.79
27,lebu,98,CL,1603842844,82,-37.62,-73.65,10.4,5.5
28,geraldton,90,AU,1603842864,60,-28.77,114.6,20.0,7.7
29,pisco,0,PE,1603842864,77,-13.7,-76.22,18.0,8.7
30,faanui,91,PF,1603842864,82,-16.48,-151.75,26.63,8.37
31,saint-augustin,82,CA,1603842864,90,51.23,-58.65,-0.42,1.73
32,busselton,14,AU,1603842864,93,-33.65,115.33,15.56,3.69
33,port lincoln,73,CD,1603842864,61,-7.03,29.76,24.35,1.48
34,avarua,100,CK,1603842685,78,-21.21,-159.78,23.0,3.1
35,wewak,75,PG,1603842865,74,-3.55,143.63,28.41,1.74
36,kassala,0,SD,1603842865,48,15.45,36.4,26.51,3.29
37,barrow,75,US,1603842709,63,71.29,-156.79,-1.0,8.7
38,east london,75,IS,1603842865,95,65.0,-15.0,1.0,3.1
39,jalu,11,LY,1603842570,41,29.03,21.55,21.72,4.76
40,ajacuba,89,MX,1603842866,34,20.09,-99.11,17.19,2.59
41,mareeba,20,AU,1603842866,58,-17.0,145.43,29.0,4.1
42,ushuaia,40,AR,1603842647,39,-54.8,-68.3,8.0,3.6
43,miyako,1,JP,1603842866,55,39.64,141.95,14.23,0.11
44,kodiak,40,US,1603842710,68,57.79,-152.41,8.0,3.1
45,sungairaya,90,ID,1603842866,83,0.7,108.9,26.26,3.76
46,ancud,90,CL,1603842866,93,-41.87,-73.82,8.89,6.7
47,hermanus,100,ZA,1603842867,93,-34.42,19.23,16.11,0.89
48,mana,90,GF,1603842867,80,5.66,-53.78,27.06,4.46
49,krasnoselkup,0,RU,1603842867,88,65.7,82.47,-18.58,6.82
50,anchorage,90,US,1603842751,86,61.22,-149.9,1.11,1.18
51,saskylakh,98,RU,1603842572,92,71.92,114.08,-14.89,4.7
52,bandarbeyla,9,SO,1603842744,80,9.49,50.81,23.77,1.5
53,colomi,20,BO,1603842867,31,-17.35,-65.87,23.0,6.2
54,axim,100,GH,1603842868,86,4.87,-2.24,25.78,3.0
55,srandakan,89,ID,1603842868,80,-7.94,110.25,26.35,2.7
56,bria,99,CF,1603842868,91,6.54,21.99,21.43,0.53
57,lompoc,1,US,1603842762,40,34.64,-120.46,21.0,4.6
58,saint-vallier,96,FR,1603842868,76,46.64,4.37,12.0,2.6
59,butaritari,98,KI,1603842868,66,3.07,172.79,27.21,1.98
60,yuanping,100,CN,1603842869,46,38.72,112.76,7.27,1.36
61,yellowknife,75,CA,1603842869,67,62.46,-114.35,-8.0,2.6
62,mokhsogollokh,100,RU,1603842612,93,61.47,128.92,-13.1,1.76
63,tuktoyaktuk,90,CA,1603842706,85,69.45,-133.04,-10.0,6.2
64,kisaran,80,ID,1603842869,90,2.98,99.62,23.79,0.83
65,laguna,1,US,1603842869,18,38.42,-121.42,23.89,1.5
66,tornio,90,FI,1603842869,100,65.85,24.15,7.0,6.2
67,chuy,100,UY,1603842870,95,-33.7,-53.46,16.75,6.36
68,kapaa,75,US,1603842575,69,22.08,-159.32,28.89,2.6
69,ponca city,1,US,1603842870,68,42.56,-96.71,1.0,3.6
70,waddan,1,LY,1603842870,82,29.16,16.14,18.2,4.68
71,port-cartier,20,CA,1603842591,73,50.03,-66.87,-2.22,3.6
72,talcahuano,75,CL,1603842870,81,-36.72,-73.12,12.0,3.1
73,arraial do cabo,0,BR,1603842871,37,-22.84,-46.65,28.0,4.6
74,port elizabeth,73,CD,1603842864,61,-7.03,29.76,24.35,1.48
75,ust-ordynskiy,0,RU,1603842871,74,52.8,104.75,1.0,4.0
76,alvand,0,IR,1603842871,64,36.32,49.17,6.61,1.49
77,bethel,90,US,1603842720,57,41.37,-73.41,11.0,1.5
78,port alfred,73,CD,1603842871,61,-7.03,29.76,24.35,1.48
79,magan,68,ES,1603842871,67,39.97,-3.93,12.78,3.82
80,sola,35,VU,1603842752,77,-13.88,167.55,26.75,7.98
81,saldanha,100,ZA,1603842872,87,-33.01,17.94,15.0,1.0
82,lata,100,PT,1603842872,95,40.16,-8.33,16.11,2.24
83,punta arenas,76,PH,1603842872,72,8.99,125.34,28.32,0.81
84,vanimo,85,PG,1603842872,61,-2.67,141.3,30.35,0.78
85,talnakh,0,RU,1603842872,82,69.49,88.4,-20.29,2.45
86,havre-saint-pierre,1,CA,1603842781,86,50.23,-63.6,-1.0,2.6
87,tokur,100,RU,1603842873,95,53.13,132.9,-2.34,0.89
88,pangody,0,RU,1603842873,89,65.85,74.49,-18.15,3.3
89,vila velha,100,PT,1603842873,96,42.03,-8.16,12.22,1.34
90,verkhoyansk,84,RU,1603842873,92,67.54,133.38,-15.34,1.1
91,dutse,3,NG,1603842873,24,11.76,9.34,24.21,2.93
92,khatanga,55,RU,1603842873,90,71.97,102.5,-20.74,4.7
93,mount gambier,5,GB,1603842874,92,53.66,-1.85,7.78,2.68
94,mitu,57,CO,1603842874,93,1.2,-70.17,23.95,1.05
95,imeni poliny osipenko,16,NG,1603842874,91,7.32,5.96,22.67,1.06
96,biala podlaska,69,PL,1603842874,93,50.39,17.66,5.0,0.89
97,rezh,87,RU,1603842874,93,57.37,61.4,-3.47,3.92
98,teguldet,100,RU,1603842874,85,57.31,88.17,3.84,4.01
99,mataura,11,NZ,1603842874,64,-46.19,168.86,14.44,1.79
100,muroto,75,JP,1603842875,72,33.28,134.15,17.0,4.1
101,lorengau,95,PG,1603842875,63,-2.02,147.27,29.95,0.47
102,meulaboh,59,ID,1603842875,87,4.14,96.13,24.22,1.9
103,shiyan,100,CN,1603842875,36,32.65,110.78,12.22,3.13
104,asau,8,RO,1603842875,98,46.43,26.4,10.0,0.63
105,mbandaka,99,CD,1603842875,95,0.05,18.26,22.47,1.34
106,beringovskiy,83,RU,1603842876,93,63.05,179.32,-2.41,5.42
107,esperance,64,AU,1603842708,100,-33.87,121.9,17.0,4.6
108,hambantota,73,LK,1603842876,82,6.12,81.12,25.59,2.92
109,nome,90,US,1603842876,86,64.5,-165.41,1.11,2.1
110,pevek,100,RU,1603842717,97,69.7,170.31,-6.42,6.14
111,tenkodogo,4,BF,1603842876,19,11.78,-0.37,26.22,2.88
112,bubaque,44,GW,1603842876,81,11.28,-15.83,27.96,4.94
113,nichinan,75,JP,1603842876,88,31.6,131.37,17.0,2.6
114,tiksi,27,RU,1603842877,90,71.69,128.87,-19.32,5.63
115,port macquarie,77,CD,1603842877,61,-7.03,29.76,24.22,1.6
116,labuhan,100,ID,1603842734,80,-6.88,112.21,27.03,3.82
117,andradas,24,BR,1603842877,73,-22.07,-46.57,20.14,1.73
118,corn island,100,FR,1603842877,97,44.61,1.9,10.56,1.34
119,ostrovnoy,100,RU,1603842877,91,68.05,39.51,6.62,9.88
120,leningradskiy,0,RU,1603842877,89,69.38,178.42,-7.36,7.96
121,almeirim,84,BR,1603842878,65,-1.52,-52.58,27.92,1.4
122,albany,100,US,1603842878,74,42.6,-73.97,8.89,1.73
123,envira,100,BR,1603842878,96,-7.3,-70.22,23.59,0.79
124,vardo,75,NO,1603842878,100,70.37,31.11,2.0,3.6
125,mackay,40,AU,1603842878,69,-21.15,149.2,28.89,4.1
126,nishihara,20,JP,1603842878,61,26.18,127.76,26.0,4.6
127,puerto del rosario,0,ES,1603842878,82,36.59,-6.23,15.0,1.5
128,saint-philippe,0,RE,1603842879,64,-21.36,55.77,22.0,1.5
129,angoche,0,MZ,1603842879,84,-16.23,39.91,24.06,0.34
130,yiyang,95,CN,1603842879,69,28.59,112.33,15.37,3.95
131,shenkursk,99,RU,1603842879,91,62.11,42.9,5.88,4.83
132,bambous virieux,5,MU,1603842879,80,-20.26,57.41,21.11,1.34
133,mandasa,46,IN,1603842880,58,18.87,84.47,23.03,1.51
134,orapa,11,BW,1603842880,28,-21.28,25.37,25.13,5.89
135,atuona,2,PF,1603842880,74,-9.8,-139.03,26.04,8.67
136,upernavik,0,GL,1603842880,79,72.79,-56.15,-8.42,2.63
137,bredasdorp,100,ZA,1603842880,82,-34.53,20.04,17.0,2.1
138,aquiraz,0,BR,1603842761,78,-3.9,-38.39,27.0,3.6
139,hualmay,87,PE,1603842787,85,-11.1,-77.61,17.65,3.11
140,karaton,20,ID,1603842880,83,-6.34,106.1,27.22,2.1
141,lagoa,100,PT,1603842881,61,39.05,-27.98,16.99,2.84
142,pasca,75,CO,1603842881,87,4.31,-74.3,14.0,1.5
143,gorontalo,100,ID,1603842881,59,0.54,123.06,29.35,1.02
144,carnarvon,0,AU,1603842881,73,-24.87,113.63,21.0,10.8
145,pringsewu,96,ID,1603842882,80,-5.36,104.97,24.89,2.14
146,praia,96,CV,1603842882,83,14.92,-23.51,26.0,6.7
147,vestmannaeyjar,42,IS,1603842794,71,63.44,-20.27,4.97,12.18
148,nagato,75,JP,1603842882,76,34.38,131.2,16.0,1.0
149,poum,72,NC,1603842791,73,-20.23,164.02,25.15,5.28
150,puerto ayora,0,ES,1603842882,82,36.59,-6.23,15.0,1.5
151,namibe,70,AO,1603842883,77,-15.2,12.15,21.81,1.94
152,alofi,40,NU,1603842883,73,-19.06,-169.92,25.0,9.8
153,cidreira,98,BR,1603842883,84,-30.18,-50.21,17.71,5.22
154,tocopilla,16,CL,1603842713,61,-22.09,-70.2,15.79,3.37
155,kabalo,79,CD,1603842883,95,-6.05,26.92,20.73,0.9
156,kununurra,98,AU,1603842883,66,-15.77,128.73,30.0,1.5
157,gizo,97,SB,1603842883,70,-8.1,156.84,29.27,1.57
158,rybnoye,36,RU,1603842883,95,54.73,39.51,1.67,4.47
159,georgetown,20,MY,1603842884,94,5.41,100.34,25.0,1.5
160,port augusta,77,CD,1603842884,61,-7.03,29.76,24.22,1.6
161,aykhal,73,RU,1603842884,88,66.0,111.5,-24.53,1.96
162,constitucion,5,CL,1603842884,74,-35.33,-72.42,9.77,3.87
163,sun valley,0,YE,1603842884,42,16.72,44.81,10.02,0.82
164,port-gentil,75,GA,1603842884,88,-0.72,8.78,26.0,3.1
165,senanga,7,ZM,1603842885,31,-16.12,23.27,22.75,2.86
166,buala,9,SB,1603842885,69,-8.14,159.59,29.92,2.39
167,cockburn town,0,AU,1603842885,63,-32.08,141.0,16.0,4.6
168,margate,15,GB,1603842756,82,51.38,1.39,10.56,0.45
169,bathurst,47,AU,1603842778,69,-33.42,149.58,16.11,0.89
170,mys shmidta,100,RU,1603842885,94,62.06,48.62,3.03,3.67
171,pangkalanbuun,100,ID,1603842886,89,-2.68,111.62,25.43,0.63
172,san juan del rio,100,ML,1603842886,18,13.3,-4.9,24.85,0.58
173,broome,90,US,1603842764,75,42.25,-75.83,8.33,1.37
174,sitka,90,US,1603842736,81,57.05,-135.33,8.0,3.1
175,rocha,100,UY,1603842626,88,-34.48,-54.33,14.35,4.89
176,pacific grove,98,US,1603842886,96,38.48,-90.74,3.89,1.91
177,zhigansk,85,RU,1603842886,91,66.77,123.37,-21.67,1.52
178,abu samrah,0,IN,1603842887,35,24.6,72.7,14.96,1.49
179,tazovskiy,0,RU,1603842887,89,67.47,78.7,-19.85,3.53
180,bamako,0,ML,1603842887,68,12.65,-8.0,22.0,2.6
181,kulunda,66,RU,1603842887,87,52.57,78.94,1.05,7.54
182,souillac,4,MU,1603842887,80,-20.52,57.52,21.11,1.34
183,kasempa,9,ZM,1603842888,41,-13.46,25.83,21.63,3.31
184,fort nelson,100,NL,1603842861,92,52.65,6.39,10.56,0.89
185,luderitz,15,NA,1603842888,78,-26.65,15.16,14.0,4.72
186,norman wells,100,US,1603842888,99,35.22,-97.44,0.0,2.1
187,bibbiena,0,IT,1603842888,96,43.7,11.81,10.0,1.07
188,qaqortoq,100,GL,1603842888,99,60.72,-46.03,-1.47,1.77
189,elizabeth city,90,US,1603842889,62,40.66,-74.21,15.0,2.6
190,guanare,7,VE,1603842889,88,9.04,-69.74,24.39,1.19
191,harper,38,LR,1603842889,88,4.38,-7.72,25.5,4.1
192,port keats,73,CD,1603842871,61,-7.03,29.76,24.35,1.48
193,tasiilaq,100,GL,1603842889,91,65.61,-37.64,-3.51,4.22
194,leua,70,SK,1603842889,95,48.22,18.61,12.22,1.94
195,badnawar,0,IN,1603842889,39,23.02,75.22,19.45,1.19
196,erenhot,0,CN,1603842890,63,43.65,111.98,1.57,2.26
197,mayo,90,US,1603842890,82,38.89,-76.51,16.0,2.21
198,santana do matos,0,BR,1603842890,79,-0.06,-51.18,29.0,4.1
199,dikson,100,RU,1603842890,95,73.51,80.55,-13.78,7.38
200,nouadhibou,100,MR,1603842738,60,20.93,-17.03,24.0,8.2
201,ambilobe,1,MG,1603842891,88,-13.2,49.05,21.77,1.31
202,plattsburgh,90,US,1603842874,59,44.7,-73.45,3.0,3.1
203,lonevag,97,NO,1603842891,85,60.53,5.49,8.33,2.68
204,qaanaaq,94,GL,1603842720,79,77.48,-69.36,-11.75,6.03
205,thompson,75,CA,1603842891,62,55.74,-97.86,-4.0,3.6
206,grindavik,0,IS,1603842891,55,63.84,-22.43,4.0,11.8
207,cam ranh,0,AR,1603842891,25,-38.98,-67.82,17.0,5.7
208,riyadh,0,SA,1603842845,36,24.69,46.72,17.0,1.18
209,benguela,16,AO,1603842892,81,-12.58,13.41,23.47,2.52
210,kaitangata,2,NZ,1603842892,56,-46.28,169.85,12.76,2.98
211,hasaki,75,JP,1603842892,87,35.73,140.83,16.11,2.1
212,narsaq,100,GL,1603842716,97,60.92,-46.05,-1.03,1.69
213,ponta do sol,89,PT,1603842892,66,38.73,-28.27,15.13,1.82
214,edson,75,CA,1603842615,52,53.58,-116.44,8.0,14.9
215,vitim,73,RU,1603842892,91,59.45,112.56,-10.95,1.1
216,bad kreuznach,70,DE,1603842893,78,47.63,9.83,6.67,5.81
217,anloga,40,GH,1603842893,88,5.79,0.9,27.0,1.5
218,chumikan,100,RU,1603842893,89,54.72,135.31,3.09,6.72
219,kavieng,92,PG,1603842893,65,-2.57,150.8,29.3,1.14
220,kloulklubed,75,PW,1603842893,83,7.04,134.26,28.0,1.5
221,huarmey,100,PE,1603842894,83,-10.07,-78.15,17.93,3.11
222,olavarria,53,AR,1603842894,73,-36.89,-60.32,14.31,2.24
223,aklavik,90,CA,1603842894,85,68.22,-135.01,-11.0,2.35
224,andapa,25,MG,1603842894,90,-14.65,49.65,17.55,0.87
225,san rafael,100,ML,1603842886,18,13.3,-4.9,24.85,0.58
226,nanning,0,CN,1603842894,88,22.82,108.32,21.0,3.0
227,syedove,57,UA,1603842895,100,47.08,38.16,10.0,9.39
228,sehithwa,23,BW,1603842895,21,-20.47,22.72,26.45,5.48
229,palmer,100,US,1603842895,87,42.16,-72.33,10.0,1.05
230,stornoway,100,GB,1603842895,93,58.21,-6.39,6.0,1.0
231,lavrentiya,96,RU,1603842707,91,65.58,-171.0,-0.68,4.14
232,suntar,100,RU,1603842895,89,62.14,117.63,-8.85,1.61
233,polonnaruwa,27,LK,1603842895,91,7.93,81.0,23.47,0.65
234,victoria,57,HK,1603842877,73,22.29,114.16,25.0,9.04
235,bilma,0,NE,1603842896,24,18.69,12.92,20.65,1.61
236,oistins,20,BB,1603842639,83,13.07,-59.53,27.0,6.7
237,qandala,22,SO,1603842896,57,11.47,49.87,23.6,1.28
238,airai,27,TL,1603842896,75,-8.93,125.41,21.27,1.14
239,clyde river,100,US,1603842896,94,41.3,-82.98,5.56,0.52
240,jumla,0,NP,1603842896,50,29.27,82.18,5.57,2.29
241,keskin,0,TR,1603842897,37,39.67,33.61,17.22,0.85
242,kruisfontein,23,ZA,1603842897,95,-34.0,24.73,15.0,3.84
243,nyurba,100,RU,1603842897,87,63.28,118.33,-11.37,1.73
244,rizhao,97,CN,1603842897,49,35.43,119.46,13.91,5.4
245,flinders,84,AU,1603842897,78,-34.58,150.86,19.44,0.45
246,tautira,75,PF,1603842897,78,-17.73,-149.15,28.0,8.7
247,hithadhoo,93,MV,1603842898,66,-0.6,73.08,28.68,4.81
248,seoul,100,KR,1603842898,100,37.57,126.98,10.0,1.0
249,morgan city,90,US,1603842898,86,39.72,-90.22,4.44,1.26
250,san pedro,100,ML,1603842873,18,13.3,-4.9,24.85,0.58
251,kibala,0,TD,1603842899,88,9.11,18.35,25.0,1.49
252,makaha,1,US,1603842899,69,21.47,-158.22,28.0,3.4
253,korla,0,CN,1603842900,93,41.76,86.15,3.89,2.06
254,ankang,100,CN,1603842900,85,32.68,109.02,12.35,0.65
255,sambava,6,MG,1603842900,87,-14.27,50.17,21.57,3.34
256,portland,20,US,1603842865,51,45.52,-122.68,15.0,1.27
257,argostolion,100,GR,1603842900,75,38.18,20.49,18.49,3.62
258,san diego,100,ML,1603842900,18,13.3,-4.9,25.02,0.91
259,panorama,1,GR,1603842901,83,40.59,23.03,16.11,1.41
260,fortuna,1,US,1603842901,48,40.6,-124.16,18.33,4.6
261,tuatapere,10,NZ,1603842901,64,-46.13,167.68,14.44,1.79
262,manokwari,99,ID,1603842901,64,-0.87,134.08,29.32,0.39
263,sao felix do xingu,0,IN,1603842862,50,20.51,76.21,19.38,1.07
264,nanortalik,100,GL,1603842902,90,60.14,-45.24,-0.88,1.9
265,melilla,1,ES,1603842870,47,35.29,-2.94,15.0,2.1
266,bur gabo,91,DK,1603842902,95,56.37,8.43,8.89,1.34
267,altay,11,CN,1603842902,69,47.87,88.12,1.75,0.41
268,safford,40,US,1603842902,65,32.83,-109.71,8.0,2.1
269,coihaique,90,CL,1603842903,93,-45.58,-72.07,5.0,3.6
